Focal Document Element,Focal Document Element Description,Rationale,Relationship,Reference Document Element,Reference Document Element Description,Fulfilled By (Y/N),Group Identifier (optional),Comments (optional),Strength of Relationship (optional)
THIRD-PARTIES-1e,"Escalated prioritization is assigned to suppliers and other third parties whose compromise or disruption could cause significant consequences (for example, single-source suppliers, suppliers with privileged access)",Functional,intersects with,PR.DS-4,Adequate capacity to ensure availability is maintained,N,,,2
THIRD-PARTIES-1f,"Prioritization of suppliers and other third parties is updated periodically and according to defined triggers, such as system changes and external events",Functional,intersects with,ID.SC-2,"Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process",N,,,3
THIRD-PARTIES-2a,"The selection of suppliers and other third parties includes consideration of their cybersecurity qualifications, at least in an ad hoc manner",,not related to,,,N,,,0
THIRD-PARTIES-2b,"The selection of products and services includes consideration of their cybersecurity capabilities, at least in an ad hoc manner",,not related to,,,N,,,0
THIRD-PARTIES-2c,A defined method is followed to identify cybersecurity requirements and implement associated controls that protect against the risks arising from suppliers and other third parties,,not related to,,,N,,,0
THIRD-PARTIES-2d,A defined method is followed to evaluate and select suppliers and other third parties,Semantic,intersects with,ID.SC-2,"Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process",N,,,5
THIRD-PARTIES-2e,More rigorous cybersecurity controls are implemented for higher priority suppliers and other third parties,,not related to,,,N,,,0
THIRD-PARTIES-2f,"Cybersecurity requirements (for example, vulnerability notification, incident-related SLA requirements) are formalized in agreements with suppliers and other third parties",Semantic,equal,ID.SC-3,Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan.,Y,,,10
THIRD-PARTIES-2g,Suppliers and other third parties periodically attest to their ability to meet cybersecurity requirements,Functional,intersects with,ID.SC-2,"Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process",N,,,5
THIRD-PARTIES-2g,Suppliers and other third parties periodically attest to their ability to meet cybersecurity requirements,Semantic,subset of,ID.SC-4,"Suppliers and third-party partners are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual obligations",Y,,,8
THIRD-PARTIES-2h,Cybersecurity requirements for suppliers and other third parties include secure software and secure product development requirements where appropriate,Semantic,intersects with,ID.SC-3,Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan.,N,,,6
THIRD-PARTIES-2i,Selection criteria for products include consideration of end-of-life and end-of-support timelines,,not related to,,,N,,,0
THIRD-PARTIES-2j,"Selection criteria include consideration of safeguards against counterfeit or compromised software, hardware, and services",,not related to,,,N,,,0
THIRD-PARTIES-2k,"Selection criteria for higher priority assets include evaluation of bills of material for key asset elements, such as hardware and software",,not related to,,,N,,,0
THIRD-PARTIES-2l,Selection criteria for higher priority assets include evaluation of any associated third-party hosting environments and source data,Semantic,intersects with,ID.SC-4,"Suppliers and third-party partners are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual obligations",N,,,2
THIRD-PARTIES-2m,Acceptance testing of procured assets includes consideration of cybersecurity requirements,Semantic,intersects with,PR.DS-6,"Integrity checking mechanisms are used to verify software, firmware, and information integrity",N,,,3
THIRD-PARTIES-2m,Acceptance testing of procured assets includes consideration of cybersecurity requirements,Semantic,intersects with,PR.DS-8,Integrity checking mechanisms are used to verify hardware integrity,N,,,3
THIRD-PARTIES-3a,"Documented procedures are established, followed, and maintained for activities in the THIRD-PARTIES domain",Semantic,intersects with,ID.SC-1,"Cyber supply chain risk management processes are identified, established, assessed, managed, and agreed to by organizational stakeholders",N,,,7
THIRD-PARTIES-3b,"Adequate resources (people, funding, and tools) are provided to support activities in the THIRD-PARTIES domain",,not related to,,,N,,,0
THIRD-PARTIES-3c,Up-to-date policies or other organizational directives define requirements for activities in the THIRD-PARTIES domain,Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,N,,,6
THIRD-PARTIES-3c,Up-to-date policies or other organizational directives define requirements for activities in the THIRD-PARTIES domain,Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",N,,,3
THIRD-PARTIES-3c,Up-to-date policies or other organizational directives define requirements for activities in the THIRD-PARTIES domain,Semantic,intersects with,ID.SC-1,"Cyber supply chain risk management processes are identified, established, assessed, managed, and agreed to by organizational stakeholders",N,,,6
THIRD-PARTIES-3d,"Responsibility, accountability, and authority for the performance of activities in the THIRD-PARTIES domain are assigned to personnel",Semantic,intersects with,ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",Y,THIRD-PARTIES-3d:G1,,5
THIRD-PARTIES-3d,"Responsibility, accountability, and authority for the performance of activities in the THIRD-PARTIES domain are assigned to personnel",Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,Y,THIRD-PARTIES-3d:G1,,4
THIRD-PARTIES-3d,"Responsibility, accountability, and authority for the performance of activities in the THIRD-PARTIES domain are assigned to personnel",Semantic,intersects with,ID.GV-2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners,Y,THIRD-PARTIES-3d:G1,,7
THIRD-PARTIES-3d,"Responsibility, accountability, and authority for the performance of activities in the THIRD-PARTIES domain are assigned to personnel",Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",Y,THIRD-PARTIES-3d:G1,,4
THIRD-PARTIES-3d,"Responsibility, accountability, and authority for the performance of activities in the THIRD-PARTIES domain are assigned to personnel",Semantic,intersects with,PR.AT-2,Privileged users understand their roles and responsibilities,Y,THIRD-PARTIES-3d:G1,,7
THIRD-PARTIES-3d,"Responsibility, accountability, and authority for the performance of activities in the THIRD-PARTIES domain are assigned to personnel",Functional,intersects with,PR.AT-3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities",Y,THIRD-PARTIES-3d:G1,,7
